,precision,recall,f1-score,support
0,1.0,1.0,1.0,6.0
1,1.0,0.8571428571428571,0.923076923076923,7.0
2,1.0,1.0,1.0,6.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,6.0
5,1.0,1.0,1.0,5.0
6,1.0,1.0,1.0,6.0
7,1.0,1.0,1.0,5.0
8,1.0,0.8888888888888888,0.9411764705882353,9.0
9,1.0,1.0,1.0,8.0
10,1.0,1.0,1.0,8.0
11,1.0,0.9090909090909091,0.9523809523809523,11.0
12,1.0,1.0,1.0,6.0
13,0.8333333333333334,1.0,0.9090909090909091,5.0
14,0.8181818181818182,1.0,0.9,9.0
15,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
16,1.0,1.0,1.0,9.0
17,1.0,1.0,1.0,8.0
18,1.0,1.0,1.0,6.0
19,1.0,1.0,1.0,6.0
20,1.0,1.0,1.0,6.0
21,1.0,0.8888888888888888,0.9411764705882353,9.0
22,1.0,1.0,1.0,8.0
23,1.0,1.0,1.0,10.0
24,1.0,1.0,1.0,10.0
25,1.0,1.0,1.0,5.0
26,0.8571428571428571,1.0,0.923076923076923,6.0
27,1.0,1.0,1.0,4.0
accuracy,0.975,0.975,0.975,0.975
macro avg,0.9773500309214596,0.9786126571840857,0.9766829109266084,200.0
weighted avg,0.9783658008658008,0.975,0.9753141074611663,200.0
