,f1-score,precision,recall,support
0,1.0,1.0,1.0,6.0
1,0.9333333333333333,1.0,0.875,8.0
2,1.0,1.0,1.0,5.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,6.0
5,1.0,1.0,1.0,6.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,6.0
8,1.0,1.0,1.0,9.0
9,0.875,0.875,0.875,8.0
10,1.0,1.0,1.0,8.0
11,1.0,1.0,1.0,12.0
12,0.8,0.6666666666666666,1.0,6.0
13,1.0,1.0,1.0,5.0
14,0.9473684210526316,0.9,1.0,9.0
15,1.0,1.0,1.0,7.0
16,0.9411764705882353,1.0,0.8888888888888888,9.0
17,0.9411764705882353,1.0,0.8888888888888888,9.0
18,1.0,1.0,1.0,6.0
19,1.0,1.0,1.0,6.0
20,0.923076923076923,0.8571428571428571,1.0,6.0
21,0.9411764705882353,1.0,0.8888888888888888,9.0
22,0.9473684210526316,0.9,1.0,9.0
23,0.9473684210526316,1.0,0.9,10.0
24,1.0,1.0,1.0,10.0
25,1.0,1.0,1.0,5.0
26,0.9090909090909091,1.0,0.8333333333333334,6.0
27,1.0,1.0,1.0,6.0
accuracy,0.9660194174757282,0.9660194174757282,0.9660194174757282,0.9660194174757282
macro avg,0.9680762800151346,0.9713860544217686,0.9696428571428573,206.0
weighted avg,0.966979389102086,0.9725381414701804,0.9660194174757282,206.0
