,precision,recall,f1-score,support
0,1.0,1.0,1.0,6.0
1,0.875,1.0,0.9333333333333333,7.0
2,1.0,1.0,1.0,6.0
3,1.0,1.0,1.0,9.0
4,0.8571428571428571,1.0,0.923076923076923,6.0
5,1.0,1.0,1.0,5.0
6,1.0,1.0,1.0,6.0
7,1.0,1.0,1.0,5.0
8,1.0,0.8888888888888888,0.9411764705882353,9.0
9,1.0,1.0,1.0,8.0
10,1.0,1.0,1.0,8.0
11,1.0,0.9090909090909091,0.9523809523809523,11.0
12,0.8571428571428571,1.0,0.923076923076923,6.0
13,1.0,1.0,1.0,5.0
14,1.0,1.0,1.0,9.0
15,1.0,0.8571428571428571,0.923076923076923,7.0
16,1.0,1.0,1.0,8.0
17,1.0,1.0,1.0,9.0
18,1.0,1.0,1.0,6.0
19,1.0,1.0,1.0,5.0
20,1.0,1.0,1.0,6.0
21,1.0,1.0,1.0,10.0
22,1.0,1.0,1.0,8.0
23,0.9090909090909091,1.0,0.9523809523809523,10.0
24,1.0,0.9,0.9473684210526316,10.0
25,1.0,1.0,1.0,5.0
26,1.0,1.0,1.0,6.0
27,1.0,1.0,1.0,4.0
accuracy,0.98,0.98,0.98,0.98
macro avg,0.982084879406308,0.9841115233972377,0.9819953892488168,200.0
weighted avg,0.9825081168831169,0.98,0.9800803365880766,200.0
