,precision,recall,f1-score,support
0,0.8571428571428571,1.0,0.923076923076923,6.0
1,1.0,1.0,1.0,7.0
2,1.0,0.8333333333333334,0.9090909090909091,6.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,6.0
5,1.0,1.0,1.0,6.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,5.0
8,1.0,1.0,1.0,9.0
9,1.0,0.75,0.8571428571428571,8.0
10,1.0,1.0,1.0,8.0
11,0.9230769230769231,1.0,0.9600000000000001,12.0
12,1.0,1.0,1.0,5.0
13,1.0,0.8,0.888888888888889,5.0
14,1.0,1.0,1.0,9.0
15,1.0,1.0,1.0,7.0
16,1.0,1.0,1.0,9.0
17,1.0,1.0,1.0,8.0
18,1.0,1.0,1.0,6.0
19,1.0,1.0,1.0,6.0
20,1.0,1.0,1.0,6.0
21,1.0,1.0,1.0,9.0
22,1.0,1.0,1.0,8.0
23,1.0,1.0,1.0,10.0
24,0.8333333333333334,1.0,0.9090909090909091,10.0
25,1.0,1.0,1.0,5.0
26,1.0,1.0,1.0,6.0
27,1.0,1.0,1.0,5.0
accuracy,0.9800995024875622,0.9800995024875622,0.9800995024875622,0.9800995024875622
macro avg,0.9861983254840397,0.9779761904761904,0.9802603745460888,201.0
weighted avg,0.9828513112095202,0.9800995024875622,0.9796293700771314,201.0
