,precision,recall,f1-score,support
0,1.0,1.0,1.0,6.0
1,1.0,0.875,0.9333333333333333,8.0
2,1.0,0.8,0.888888888888889,5.0
3,1.0,1.0,1.0,9.0
4,1.0,1.0,1.0,6.0
5,1.0,0.8333333333333334,0.9090909090909091,6.0
6,1.0,1.0,1.0,5.0
7,1.0,1.0,1.0,6.0
8,0.8888888888888888,1.0,0.9411764705882353,8.0
9,1.0,1.0,1.0,8.0
10,1.0,1.0,1.0,8.0
11,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
12,1.0,0.8333333333333334,0.9090909090909091,6.0
13,1.0,1.0,1.0,5.0
14,0.8888888888888888,1.0,0.9411764705882353,8.0
15,0.875,1.0,0.9333333333333333,7.0
16,1.0,1.0,1.0,9.0
17,1.0,1.0,1.0,9.0
18,1.0,1.0,1.0,5.0
19,0.75,1.0,0.8571428571428571,6.0
20,0.8571428571428571,1.0,0.923076923076923,6.0
21,1.0,0.7777777777777778,0.8750000000000001,9.0
22,1.0,0.8888888888888888,0.9411764705882353,9.0
23,1.0,1.0,1.0,10.0
24,0.9,1.0,0.9473684210526316,9.0
25,1.0,1.0,1.0,6.0
26,0.8333333333333334,1.0,0.9090909090909091,5.0
27,1.0,1.0,1.0,6.0
accuracy,0.9554455445544554,0.9554455445544554,0.9554455445544554,0.9554455445544554
macro avg,0.9607980313337456,0.9586309523809524,0.9563753969020252,202.0
weighted avg,0.9612170145585986,0.9554455445544554,0.955177320510811,202.0
