,precision,recall,f1-score,support
0,1.0,1.0,1.0,5.0
1,0.8333333333333334,1.0,0.9090909090909091,5.0
2,0.8,0.8,0.8000000000000002,5.0
3,1.0,1.0,1.0,5.0
4,1.0,0.8,0.888888888888889,5.0
5,0.8,0.8,0.8000000000000002,5.0
6,1.0,0.8,0.888888888888889,5.0
7,1.0,1.0,1.0,5.0
8,1.0,1.0,1.0,5.0
9,1.0,0.8,0.888888888888889,5.0
10,1.0,0.8,0.888888888888889,5.0
11,0.8,0.8,0.8000000000000002,5.0
12,1.0,1.0,1.0,5.0
13,1.0,1.0,1.0,5.0
14,1.0,1.0,1.0,5.0
15,1.0,1.0,1.0,5.0
16,0.8333333333333334,1.0,0.9090909090909091,5.0
17,0.8333333333333334,1.0,0.9090909090909091,5.0
18,1.0,0.8,0.888888888888889,5.0
19,1.0,0.6,0.7499999999999999,5.0
20,1.0,0.8,0.888888888888889,5.0
21,0.8333333333333334,1.0,0.9090909090909091,5.0
22,1.0,1.0,1.0,5.0
23,0.7142857142857143,1.0,0.8333333333333333,5.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
accuracy,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333
macro avg,0.8633699633699634,0.8384615384615385,0.8443473193473193,120.0
weighted avg,0.9353174603174603,0.9083333333333333,0.914709595959596,120.0
