,precision,recall,f1-score,support
0,1.0,1.0,1.0,5.0
1,0.8,0.8,0.8000000000000002,5.0
2,1.0,1.0,1.0,5.0
3,1.0,1.0,1.0,5.0
4,1.0,0.8,0.888888888888889,5.0
5,1.0,0.8,0.888888888888889,5.0
6,1.0,1.0,1.0,5.0
7,0.7142857142857143,1.0,0.8333333333333333,5.0
8,1.0,1.0,1.0,5.0
9,0.8333333333333334,1.0,0.9090909090909091,5.0
10,0.8333333333333334,1.0,0.9090909090909091,5.0
11,0.75,0.6,0.6666666666666665,5.0
12,0.6666666666666666,0.8,0.7272727272727272,5.0
13,1.0,0.6,0.7499999999999999,5.0
14,1.0,1.0,1.0,5.0
15,1.0,1.0,1.0,5.0
16,0.7142857142857143,1.0,0.8333333333333333,5.0
17,0.7142857142857143,1.0,0.8333333333333333,5.0
18,0.8333333333333334,1.0,0.9090909090909091,5.0
19,0.8,0.8,0.8000000000000002,5.0
20,1.0,0.6,0.7499999999999999,5.0
21,0.75,0.6,0.6666666666666665,5.0
22,1.0,1.0,1.0,5.0
23,1.0,0.8,0.888888888888889,5.0
24,1.0,0.8,0.888888888888889,5.0
25,0.8333333333333334,1.0,0.9090909090909091,5.0
26,1.0,0.6,0.7499999999999999,5.0
27,0.8333333333333334,1.0,0.9090909090909091,5.0
accuracy,0.8785714285714286,0.8785714285714286,0.8785714285714286,0.8785714285714286
macro avg,0.8955782312925169,0.8785714285714287,0.875414862914863,140.0
weighted avg,0.895578231292517,0.8785714285714286,0.8754148629148629,140.0
