,precision,recall,f1-score,support
0,0.8,0.8,0.8000000000000002,5.0
1,1.0,1.0,1.0,5.0
2,1.0,1.0,1.0,5.0
3,1.0,0.8,0.888888888888889,5.0
4,1.0,1.0,1.0,5.0
5,1.0,1.0,1.0,5.0
6,0.7142857142857143,1.0,0.8333333333333333,5.0
7,0.8,0.8,0.8000000000000002,5.0
8,1.0,1.0,1.0,5.0
9,0.8333333333333334,1.0,0.9090909090909091,5.0
10,0.7142857142857143,1.0,0.8333333333333333,5.0
11,0.5714285714285714,0.8,0.6666666666666666,5.0
12,1.0,1.0,1.0,5.0
13,0.8,0.8,0.8000000000000002,5.0
14,1.0,1.0,1.0,5.0
15,1.0,1.0,1.0,5.0
16,1.0,1.0,1.0,5.0
17,1.0,0.6,0.7499999999999999,5.0
18,1.0,1.0,1.0,5.0
19,1.0,0.6,0.7499999999999999,5.0
20,0.75,0.6,0.6666666666666665,5.0
21,1.0,1.0,1.0,5.0
22,1.0,1.0,1.0,5.0
23,0.8,0.8,0.8000000000000002,5.0
24,1.0,1.0,1.0,5.0
25,0.75,0.6,0.6666666666666665,5.0
26,1.0,0.8,0.888888888888889,5.0
27,0.8333333333333334,1.0,0.9090909090909091,5.0
accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429
macro avg,0.9059523809523808,0.892857142857143,0.8915223665223665,140.0
weighted avg,0.9059523809523811,0.8928571428571429,0.8915223665223665,140.0
